736,227,825,227,825,251,736,251
684,279,796,279,796,305,684,305
1748,331,1855,330,1855,358,1748,358
344,1269,470,1269,470,1295,344,1296
1082,640,1146,640,1146,678,1082,678
1347,180,1403,180,1403,209,1347,209
525,1186,559,1185,561,1292,527,1292
976,563,1020,563,1020,598,976,598
795,364,845,364,845,401,795,401
884,674,942,674,942,708,884,708
2126,602,2192,602,2192,628,2126,628
990,787,1034,787,1034,816,990,816
1820,435,1912,434,1912,467,1821,468
809,1163,873,1163,873,1184,809,1184
1921,461,1970,461,1970,492,1921,492
1927,402,1963,402,1962,433,1927,433
884,339,919,339,919,369,884,369
1131,1230,1199,1230,1199,1265,1131,1265
497,441,557,442,557,474,497,474
965,1230,1034,1231,1034,1265,965,1265
2121,528,2190,528,2191,556,2121,556
1418,850,1476,850,1476,878,1418,878
962,1163,1026,1163,1026,1182,962,1182
379,1248,441,1248,441,1267,379,1267
429,1105,462,1105,462,1140,429,1140
488,390,553,390,553,421,488,422
427,269,468,269,468,299,427,299
798,324,835,324,835,362,798,362
411,1066,443,1066,442,1097,411,1097
295,849,348,849,348,879,295,879
1685,577,1738,577,1738,605,1685,605
1820,384,1899,383,1899,418,1820,418
813,1230,882,1230,882,1265,813,1265
659,1229,729,1229,729,1266,659,1266
659,1163,716,1163,716,1185,659,1185
1684,548,1738,548,1738,576,1684,576
1129,1163,1193,1163,1193,1183,1129,1183
288,441,343,441,343,470,288,470
1324,926,1369,926,1369,960,1324,961
814,1463,843,1463,843,1498,814,1498
1060,544,1104,544,1104,572,1060,572
349,925,395,925,395,955,349,955
1874,526,1913,526,1913,557,1874,557
1281,498,1312,498,1312,535,1281,535
377,426,426,426,426,457,377,458
1404,436,1472,436,1472,465,1404,464
797,425,840,425,839,459,797,459
644,922,686,922,686,951,644,951
427,980,475,980,475,1020,427,1021
487,922,531,922,531,953,487,953
975,599,1018,599,1018,632,975,632
1190,977,1234,977,1234,1015,1190,1015
1292,1190,1322,1190,1322,1214,1292,1214
1022,977,1064,977,1064,1014,1022,1014
880,390,923,390,923,421,880,420
560,978,609,978,609,1019,561,1019
529,1164,568,1164,568,1199,529,1199
981,523,1020,523,1020,561,981,560
722,978,764,978,764,1014,722,1014
790,921,836,921,836,952,789,952
1113,921,1157,921,1156,952,1112,952
946,919,989,919,990,949,946,949
870,978,913,978,913,1014,870,1014
880,437,910,437,910,466,880,466
1060,581,1088,581,1088,610,1060,609
1060,505,1088,505,1088,533,1060,533
